gaia_source_id,sdssj_name_green
2449940398945300352,000035.58-001115.0
2849992104074525440,000324.63+243815.2
2422580563916795008,000354.23-104158.2
2738375146821064320,000457.12+010937.9
2772539550076633088,000643.14+155800.7
2546582042188200192,000712.54+010757.9
2544984761030493952,001145.30-004710.2
2544773070682735232,001245.81-010522.0
2768451016088247808,001716.46+143840.8
2543910366373535232,002714.21+002914.3
2543896622476284800,002919.44+004314.2
2543458952425074304,003013.10-003226.6
2780516403858009728,003351.80+151114.3
2543241588424367744,003721.34+001224.7
2779361469970716800,003813.23+134551.1
2779838864175825024,003937.35+152910.7
2806470925585941504,004125.54+242133.8
2549113981244251136,004322.13+002843.7
2530905652076145280,004343.87-005356.2
2537021822944661632,004706.76+000748.9
2474101239252638336,004853.30-090435.7
2536744436776901760,004857.54-003358.3
2536731448795778816,004905.98-003811.1
2535875960029725184,005424.17-010106.4
2474755590406338432,010717.90-091329.5
2535287377711328512,011717.70+010544.1
2472125077555720448,012028.56-083630.9
2534143954337742976,012101.10-001507.3
2535163480790040064,012150.33+011302.2
2533524212032326528,012159.74-010142.8
2533910754793841408,012321.07-004549.9
2458779067979157376,012518.67-104448.2
2534079632907868672,012526.74+000448.5
2458921244281070336,012747.73-100439.1
2477305250496188416,012919.18-083137.9
2510018337057861376,013249.99+000300.4
2463999407453537664,014140.31-100355.1
2510316059895252992,014155.53+005823.6
2588190761934182912,014359.79+141700.4
2506139741071173120,015232.31-004932.6
2567657828962189184,015923.64+063011.7
2506748934937404288,020252.79-004359.6
76818032710274944,020716.86+133034.6
100295290317202560,020738.05+211913.3
2507283847343816704,021119.83+003201.4
100894588579478656,021427.48+225919.8
2499910488008296192,022229.93-004847.5
2501474165341572224,022304.43+004501.3
2500541470244355072,023208.60+003639.1
5179438776077806208,025634.62-084853.8
288862320488704,025727.90+004934.3
3867119834057472,030636.88+053056.8
3267084761964756352,030802.03+004210.6
3266208867809798400,031700.34+005132.3
9328600247697664,032036.78+054744.1
9301421694622464,032043.62+054223.3
5168805094183588864,032441.45-071513.8
55939238908050944,032621.03+182041.9
3275703421298024832,033004.03+051450.8
3263716614251553152,033704.05-001602.9
3251552270436874880,034229.31-003423.6
3258149550658916736,035134.87+010442.1
3303194510529649024,035225.72+105125.6
3196710107912874112,040455.73-063753.2
3285240378998984448,041841.19+060819.0
3224599499525337472,045135.21-043125.2
887627288904791168,065256.65+290559.1
893880245891571712,073048.27+345729.8
865657564822304000,073341.27+222758.9
3168951390681007744,073550.33+162259.0
975078870364536192,073616.98+454533.5
899469093558934272,073621.30+390725.2
872277724328162432,073805.73+274148.8
1095588879526364800,073956.40+653301.2
924928938135297152,074057.80+415932.5
867505706423771776,074109.31+243602.9
671936741423006336,074519.03+192925.2
878391700469308416,074600.27+283728.8
920420566798729088,074638.21+400403.4
867943247628973952,074710.47+245926.5
674630407471531520,074804.04+215206.5
924068127905334656,074836.39+421052.5
875755376527446784,074908.53+284343.3
933838383934304384,075025.69+484756.1
3148789100504962944,075053.80+094740.5
875494860990618368,075228.63+280547.5
875844127735189120,075229.76+291541.5
668453836480031232,075327.49+181248.9
681261012343581952,075610.37+235757.2
874268115251667200,075810.99+260954.6
3150965102735227776,075826.33+114923.4
667110744369959808,075830.79+160406.0
670454496669714688,075851.94+203001.0
923024309118123520,075953.65+434021.0
877218242389813632,080040.60+292437.9
921279869497316224,080156.39+395043.7
667291614032954368,080203.18+165502.8
3096117094757298048,080345.12+062729.6
682188351618230912,080357.29+263113.2
3097722313014111488,080451.45+070741.5
3095910627090032256,080648.43+060544.0
3097768084483308928,080701.12+073959.9
876618252636868864,080806.06+293634.0
649963379499246848,080814.77+114919.9
3097521961380271616,081223.91+070407.0
649019620565283968,081338.28+112321.2
650713933623920896,081406.73+135212.0
648851498365440128,081407.91+105122.3
3096673172763887616,081413.11+062408.7
655291651503551616,081413.47+144012.6
900740751771854208,081445.65+302214.6
648535526211925888,081546.67+095952.7
684039924903097344,081617.30+275701.1
663535510513990400,081647.42+193405.3
676520644054584448,081807.45+223427.6
908434373933249408,081824.34+385423.5
663291693810702592,082013.72+191625.2
1031990721794039296,082113.86+534755.8
901761472223684096,082127.90+333037.2
930119736825131904,082251.41+461232.2
1032102940699604608,082420.75+540617.2
662562477083011968,082541.21+185820.8
663725691665291776,082605.45+194025.4
930632345466370432,082626.75+470911.7
599466452567564288,082757.73+090938.1
710851687745057920,082837.14+331231.8
665509340044359296,083001.27+213321.7
595918088026295808,083022.06+065516.2
662990839941484160,083025.91+194700.9
663902163281581696,083026.60+204023.3
595930049511943168,083125.85+071142.4
3065328398358619008,083336.62-051037.3
658876536149303680,083354.83+165816.9
903762205429045120,083408.12+354811.6
651584300156145920,083419.93+143652.6
595880502767991680,083451.15+074008.7
602500593559974912,083453.03+113323.2
657866432857031424,083526.03+154348.5
602537083602084224,083541.58+114939.6
1149204025730449920,083556.09+841102.9
709322885546055040,083700.20+301150.5
917556747030238336,083915.06+453839.9
661214785064531456,084024.08+191855.3
595439491230958720,084026.53+072749.7
917070767186648832,084130.12+435136.7
690703240245614336,084149.50+253319.8
704433082459396864,084150.10+282956.4
582652514597006336,084255.85+055431.8
710333955207200512,084256.88+332124.4
665380254803229696,084259.79+225729.8
660957499344280832,084332.54+184600.2
913536142245113344,084341.96+420403.5
597049519850509824,084650.02+081453.9
1037453885834339712,084938.10+580414.6
690964168098375424,085023.76+255341.5
609847938277764096,085103.36+153506.4
719786216153043968,085212.77+383721.8
598572652692607104,085234.56+103505.7
582040503232626944,085241.64+052207.3
611492017398225280,085325.61+163829.6
660419773734383488,085338.63+184325.5
1010045775373654656,085348.95+442943.0
689756251496219904,085718.19+240509.9
684859374600504704,085732.32+203941.9
576807957460415744,085853.28+012243.5
693127839480396288,085939.31+282444.1
585461079610590080,085953.60+092345.0
5764525167037059072,090011.35-003606.4
1009287868264687872,090022.53+441701.3
712490170524923776,090128.28+323833.5
584944446584688000,090144.21+074042.5
718537480181201792,090148.19+365402.7
580246061600670208,090242.29+050503.0
712470031422151296,090355.19+325114.0
580090652504149248,090756.12+045625.3
712392103535706624,090853.27+330930.8
715906005258652544,090924.95+372748.8
